Date,Open,High,Low,Close,Adj Close,Volume
5/30/1990,360.65,362.26,360,360.86,360.86,199540000
5/31/1990,360.86,361.84,360.23,361.23,361.23,165690000
6/1/1990,361.26,363.52,361.21,363.16,363.16,187860000
6/4/1990,363.16,367.85,362.43,367.4,367.4,175520000
6/5/1990,367.4,368.78,365.49,366.64,366.64,199720000
6/6/1990,366.64,366.64,364.42,364.96,364.96,164030000
6/7/1990,365.92,365.92,361.6,363.15,363.15,160360000
6/8/1990,363.15,363.49,357.68,358.71,358.71,142600000
6/11/1990,358.71,361.63,357.7,361.63,361.63,119550000
6/12/1990,361.63,367.27,361.15,366.25,366.25,157100000
6/13/1990,366.25,367.09,364.51,364.9,364.9,158910000
6/14/1990,364.9,364.9,361.64,362.9,362.9,135770000
6/15/1990,362.89,363.14,360.71,362.91,362.91,205130000
6/18/1990,362.91,362.91,356.88,356.88,356.88,133470000
6/19/1990,356.88,358.9,356.18,358.47,358.47,134930000
6/20/1990,358.47,359.91,357,359.1,359.1,137420000
6/21/1990,359.1,360.88,357.63,360.47,360.47,138570000
6/22/1990,360.52,363.2,355.31,355.43,355.43,172570000
6/25/1990,355.42,356.41,351.91,352.31,352.31,133100000
6/26/1990,352.32,356.09,351.85,352.06,352.06,141420000
6/27/1990,352.06,355.89,351.23,355.14,355.14,146620000
6/28/1990,355.16,357.63,355.16,357.63,357.63,136120000
6/29/1990,357.64,359.09,357.3,358.02,358.02,145510000
7/2/1990,358.02,359.58,357.54,359.54,359.54,130200000
7/3/1990,359.54,360.73,359.44,360.16,360.16,130050000
7/5/1990,360.16,360.16,354.86,355.68,355.68,128320000
7/6/1990,355.69,359.02,354.64,358.42,358.42,111730000
7/9/1990,358.42,360.05,358.11,359.52,359.52,119390000
7/10/1990,359.52,359.74,356.41,356.49,356.49,147630000
7/11/1990,356.49,361.23,356.49,361.23,361.23,162220000
7/12/1990,361.23,365.46,360.57,365.44,365.44,213180000
7/13/1990,365.45,369.68,365.45,367.31,367.31,215600000
7/16/1990,367.31,369.78,367.31,368.95,368.95,149430000
7/17/1990,368.95,369.4,364.99,367.52,367.52,176790000
7/18/1990,367.52,367.52,362.95,364.22,364.22,168760000
7/19/1990,364.22,365.32,361.29,365.32,365.32,161990000
7/20/1990,365.32,366.64,361.58,361.61,361.61,177810000
7/23/1990,361.61,361.61,350.09,355.31,355.31,209030000
7/24/1990,355.31,356.09,351.46,355.79,355.79,181920000
7/25/1990,355.79,357.52,354.8,357.09,357.09,163530000
7/26/1990,357.09,357.47,353.95,355.91,355.91,155040000
7/27/1990,355.9,355.94,352.14,353.44,353.44,149070000
7/30/1990,353.44,355.55,351.15,355.55,355.55,146470000
7/31/1990,355.55,357.54,353.91,356.15,356.15,175380000
8/1/1990,356.15,357.35,353.82,355.52,355.52,178260000
8/2/1990,355.52,355.52,349.73,351.48,351.48,253090000
8/3/1990,351.48,351.48,338.2,344.86,344.86,295880000
8/6/1990,344.86,344.86,333.27,334.43,334.43,240400000
8/7/1990,334.43,338.63,332.22,334.83,334.83,231580000
8/8/1990,334.83,339.21,334.83,338.35,338.35,190400000
8/9/1990,338.35,340.56,337.56,339.94,339.94,155810000
8/10/1990,339.9,339.9,334.22,335.52,335.52,145340000
8/13/1990,335.39,338.88,332.02,338.84,338.84,122820000
8/14/1990,338.84,340.96,337.19,339.39,339.39,130320000
8/15/1990,339.39,341.92,339.38,340.06,340.06,136710000
8/16/1990,340.06,340.06,332.39,332.39,332.39,138850000
8/17/1990,332.36,332.36,324.63,327.83,327.83,212560000
8/20/1990,327.83,329.9,327.07,328.51,328.51,129630000
8/21/1990,328.51,328.51,318.78,321.86,321.86,194630000
8/22/1990,321.86,324.15,316.55,316.55,316.55,175550000
8/23/1990,316.55,316.55,306.56,307.06,307.06,250440000
8/24/1990,307.06,311.65,306.18,311.51,311.51,199040000
8/27/1990,311.55,323.11,311.55,321.44,321.44,160150000
8/28/1990,321.44,322.2,320.25,321.34,321.34,127660000
8/29/1990,321.34,325.83,320.87,324.19,324.19,134240000
8/30/1990,324.19,324.57,317.82,318.71,318.71,120890000
8/31/1990,318.71,322.57,316.59,322.56,322.56,96480000
9/4/1990,322.56,323.09,319.11,323.09,323.09,92940000
9/5/1990,323.09,324.52,320.99,324.39,324.39,120610000
9/6/1990,324.39,324.39,319.37,320.46,320.46,125620000
9/7/1990,320.46,324.18,319.71,323.4,323.4,123800000
9/10/1990,323.42,326.53,320.31,321.63,321.63,119730000
9/11/1990,321.63,322.18,319.6,321.04,321.04,113220000
9/12/1990,321.04,322.55,319.6,322.54,322.54,129890000
9/13/1990,322.51,322.51,318.02,318.65,318.65,123390000
9/14/1990,318.65,318.65,314.76,316.83,316.83,133390000
9/17/1990,316.83,318.05,315.21,317.77,317.77,110600000
9/18/1990,317.77,318.85,314.27,318.6,318.6,141130000
9/19/1990,318.6,319.35,316.25,316.6,316.6,147530000
9/20/1990,316.6,316.6,310.55,311.48,311.48,145100000
9/21/1990,311.53,312.17,307.98,311.32,311.32,201050000
9/24/1990,311.3,311.3,303.58,304.59,304.59,164070000
9/25/1990,305.46,308.27,304.23,308.26,308.26,155940000
9/26/1990,308.26,308.28,303.05,305.06,305.06,155570000
9/27/1990,305.06,307.47,299.1,300.97,300.97,182690000
9/28/1990,300.97,306.05,295.98,306.05,306.05,201010000
10/1/1990,306.1,314.94,306.1,314.94,314.94,202210000
10/2/1990,314.94,319.69,314.94,315.21,315.21,188360000
10/3/1990,315.21,316.26,310.7,311.4,311.4,135490000
10/4/1990,311.4,313.4,308.59,312.69,312.69,145410000
10/5/1990,312.69,314.79,305.76,311.5,311.5,153380000
